District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
634,ARUNACHAL PRADESH,Saclst,1865347,644307,896812,1332662,77781,15421,184543,51933,235619,0,59373,381617,379036,63527,21673,620317,549307,1375624,61785,297416,5982,166087,595961,556,1060,31,297,4988,16,5728,344330,111008,32318,33388,269065,75267,637670,24907,333246,13882,169007,77755,30676,2131,352338,906688,3633739,1299674,998102,422891,702,174906,8973,42862,42042,17106,176789,49547,30994,609837,6005,28642,643101,275019,68833,111515,313642,1802,66,61125,351,2272,16007,178352,383504,58194,96214,98,240,428,48612,156487,304354,1756,3885,2475,5018,16150,41359,49533,96163,48535,98328,82264,18407,163729,181632,3078,27337,24209,1744,791,27675,202,1241,686,1088,164,87,683,250,62,265,40,2014
634,GUJARAT,Camunn,154736,935976,396585,1403326,755810,370948,240135,54,0,151587,25516,16780,288247,472401,15058,332755,253704,810820,177501,75087,37953,264327,1649541,23476,20487,2164,39,13,89,2107,117563,68718,2675,12790,699054,97661,210901,362782,196667,430226,45064,102100,42679,25136,632427,162464,264108,896257,1137426,338827,2278,216557,9564,43543,101852,4045,408557,4203,1151793,394375,179505,3113,433824,9029,190453,133908,189305,2448,6937,9538,2050,14142,6276,186475,121773,12639,208575,10656,578,9857,27648,212837,2648,12231,3329,2704,48067,19305,108405,61176,162497,471769,11137,140405,9171,1512,331605,105105,2639,43184,2284,181,6223,609,981,103,2106,524,84,189,31,63,372,111,1027
60,_RARE_,Weltah,3479349,371258,1122165,2026218,803394,49836,180008,24446,98633,279659,499,142287,903092,86431,29681,1656065,215763,109939,58341,141451,25683,323955,5837808,852276,206498,741863,884,12713,3366,457,39427,31268,87,61841,637843,6955,319939,69575,61766,402686,75731,517675,109546,2887,2952079,40450,1878671,2199515,19672,907485,5096,177218,6631,11992,76637,2843,21988,10515,958601,337716,905,20005,208383,96721,65350,791722,238960,61980,1,23027,367,4503,2901,3344,128715,12181,13454,275,73,4805,10126,146045,55081,6867,216780,2246,5473,28751,4137,41069,264790,4655,185697,196005,32397,60395,54689,122837,60382,7435,368,777,51647,6,435,448,2183,140,149,29,0,21,57,20,1556
377,KARNATAKA,Euanlru,1529512,1357660,62554,135894,631211,397034,133518,91,78757,51466,0,78077,902751,36410,765008,26061,465564,4567594,116649,394173,53234,874898,413571,1920,1472,9,41,94,71,6454,85252,602763,362,9176,998,383395,171428,471603,7134,16948,103498,126735,339856,11531,2966642,1536672,1885890,272210,416500,151199,5703,153270,46115,45880,69165,16760,242509,15165,233632,345169,208647,10420,60522,504846,66377,386146,4312,48611,2865,22347,2558,4617,2744,500677,254322,11520,202,598,536,27227,5216,447039,3212,1586,65113,42450,81957,27091,103787,32866,536231,13366,31042,114228,22471,69381,310009,1963,10852,10695,5907,2317,70229,6,1064,533,2121,172,19,573,55,27,132,47,3986
169,GUJARAT,Baaggrgmr,764341,99409,626397,1612525,450705,244522,105395,74447,261909,24902,128151,3629,218920,248378,321625,780654,171110,383655,276777,63113,4112,276144,927829,1569,287,2071,22,451,3143,519,102644,13301,2903,43149,587030,7159,797911,118865,388239,9496,9774,263191,58972,18587,1175778,11546,210645,889662,86122,433653,5588,49311,14123,2952,154591,42441,39004,6200,94992,178877,7439,17278,366827,1139659,239951,218874,28553,181543,1704,479,3680,314,7562,9822,442809,10185,108597,148,2420,5156,14638,128881,4066,552,444168,9267,6764,1530,27626,11909,290971,71520,112667,3042,19315,81821,160517,19545,16136,5904,1045,689,62508,750,1108,106,231,151,636,307,93,145,1448,25,980
218,ORISSA,Sasaarhn,3963143,366919,1640843,1928718,1398537,511024,153511,118408,75528,156746,11337,22596,1200377,284079,115119,316206,331204,179463,292335,303494,28633,210709,119004,63854,1009,83099,2060,581,2882,4236,289238,45315,1836,34226,8407,163208,45559,592487,149067,7315,474408,32339,14562,13125,4006933,1410655,1022434,1323785,634367,175175,33939,405685,23297,51935,405190,4225,279050,401,61487,196895,4797,6415,283115,66198,42883,349471,9945,66215,209,8592,4496,525,7594,206319,329478,776,397074,31,1631,5139,82938,96292,57454,483,9378,1922,77705,55224,9061,78752,205841,169860,71405,64074,10263,78768,344864,59364,60153,34713,6072,339,2263,315,1812,281,1313,289,146,552,55,77,981,13,4382
338,ORISSA,Genuauiga,7323487,462490,361475,347607,665913,185368,506045,61248,105660,37,46086,248464,615168,537543,67813,108404,165835,1076324,235523,372677,12987,54270,3204960,6626,1710,377,2750,2984,9,5264,1540,12469,4029,12418,269105,60063,511253,393034,247458,135205,312324,112254,222612,12045,540526,204101,2321982,2580023,277135,275848,24021,345747,14498,62784,48065,46977,80688,7886,223168,152780,230779,31433,14643,313452,57990,378054,12311,10375,65,421,9497,154,7474,154706,123375,43837,321597,19,3109,135,2375,120621,154176,1110,48021,93,14305,16784,39995,42607,117850,322433,78042,19203,6040,145984,495246,16693,8909,13367,48,738,19988,298,364,180,2774,1029,58,144,253,0,715,4,1367
305,ASSAM,Tidipaai,294738,995873,717059,1570257,705282,462522,358169,203360,263838,22475,17643,249270,456860,243746,172633,2024352,206432,1132567,130309,690962,10003,154175,4463,9714,3298,1002,343,85,48,1205,4893,979091,1571,28350,627415,930095,1075618,350901,309551,136734,60921,25516,90607,5320,975503,571956,2060515,1456678,888525,38259,284,320549,5591,77586,106983,4355,4322,6540,248659,440386,12784,9830,17015,622304,85031,267785,17447,42667,120,57541,3140,1163,4826,242593,366111,300460,151,12164,1263,5272,3724,161900,90651,2133,87998,16,19484,27008,56877,10584,296716,233399,195788,312944,6111,114906,49605,47833,7432,33305,8726,626,49908,346,414,279,231,29,271,252,20,885,9,46,3132
103,KARNATAKA,Dhngauh,2913984,408127,1908140,2800923,1233308,2199536,351707,70845,418156,177061,100934,38997,765649,445071,147326,1116858,259334,1481116,196565,114730,8956,18158,458357,58099,56897,36,612,158,39,4538,37349,60348,2341,20858,382141,166423,639094,4919,654990,111205,69083,215848,5430,100750,1809373,1044969,3198724,1686686,29672,384139,210,22197,10257,7162,15606,3433,88201,17869,419585,98141,35441,23370,244207,479513,78817,486442,13816,9830,184,38506,513,229,4844,70086,133317,45061,57857,1087,1308,975,9182,185045,34183,401,59727,143,14370,6050,2773,55430,271516,42000,119280,50378,1886,38272,98905,103224,8649,79,3029,380,34023,52,1129,716,508,103,24,488,11,62,19,18,2826
14,RAJASTHAN,Khinilr,1439991,338939,823542,1052882,912431,371793,241982,129388,33,529852,27661,18460,323336,844192,320539,128556,55497,1111670,420786,187973,30877,229217,2140682,495647,16945,393,2123,75,375,2377,27438,32935,14687,84345,212760,720499,837588,506957,423222,87222,182207,155462,2181,25979,1880160,372481,1562286,2741500,340503,184036,11161,180325,8869,55418,98569,85464,155514,828,472911,6545,9123,262,359624,82949,177264,596738,2928,23975,262,18712,2914,1244,911,115741,447904,25202,23147,2779,18629,367,5925,117968,4152,1576,148945,47713,20834,4813,4937,107420,87537,26962,58418,48397,5319,32464,56470,17376,5165,12819,423,1104,110664,89,1269,122,231,29,177,651,29,6,534,250,3557
